CR Data,CR Hora,CR Tamanho,Dist MME,CA Hora,Contratos,Offset,TP,Pontos,Valor,Cod Status,Status
2021-11-01,10:00,200,406.4100000000035,10:10,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-01,11:20,230,296.7899999999936,11:35,1,50,50,-330,-66.0,1,Estopou
2021-11-03,10:40,240,436.0500000000029,10:50,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-03,11:35,225,315.5899999999965,11:40,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-03,11:45,265,366.41999999999825,11:55,1,50,50,-365,-73.0,1,Estopou
2021-11-04,10:20,245,307.5399999999936,10:30,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,10:45,205,510.36999999999534,10:50,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,11:00,395,327.1999999999971,11:25,1,50,50,-495,-99.0,1,Estopou
2021-11-04,12:00,230,326.02999999999884,12:15,1,50,50,-330,-66.0,1,Estopou
2021-11-05,10:00,205,259.9499999999971,10:10,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-05,10:25,200,465.6000000000058,10:40,1,50,50,-300,-60.0,1,Estopou
2021-11-05,10:50,435,475.2899999999936,11:05,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-05,11:10,245,355.6399999999994,11:15,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-08,11:10,210,372.1000000000058,11:20,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-08,11:35,305,391.38000000000466,11:40,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-08,11:45,240,613.8300000000017,12:00,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-09,10:40,205,434.679999999993,10:45,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-09,10:50,200,689.6900000000023,11:00,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-09,11:05,225,678.7700000000041,11:25,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-09,11:35,255,320.47000000000116,11:45,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-10,11:00,200,301.0500000000029,11:15,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-10,11:20,200,420.08000000000175,11:30,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-10,11:35,265,591.7299999999959,11:55,1,50,50,-365,-73.0,1,Estopou
2021-11-10,12:00,295,556.9499999999971,12:10,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-11,10:00,340,370.6999999999971,10:25,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-11,10:30,230,356.5200000000041,10:40,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-11,10:45,250,342.41999999999825,11:05,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-12,11:15,440,293.4600000000064,11:25,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-12,11:30,235,690.2100000000064,11:40,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-12,11:45,270,667.5200000000041,11:55,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-16,10:25,370,357.4499999999971,10:35,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-16,11:00,315,341.0899999999965,11:05,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-16,11:10,255,556.9799999999959,11:25,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-16,11:35,280,382.25999999999476,11:40,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-16,11:45,305,578.0299999999988,11:55,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-16,12:00,270,754.8699999999953,12:20,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-17,10:00,270,388.86999999999534,10:25,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-17,11:00,445,286.52999999999884,11:10,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-17,11:55,455,356.22000000000116,12:20,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-18,10:25,310,276.52999999999884,10:30,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-18,12:00,220,297.1100000000006,12:05,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-19,10:40,280,272.77999999999884,10:45,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-19,10:50,200,453.0,10:55,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-19,11:15,485,295.2700000000041,11:35,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-22,10:55,340,373.8500000000058,11:00,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-22,11:10,220,489.58000000000175,11:20,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-23,11:45,230,269.4100000000035,11:50,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-24,10:50,300,405.8099999999977,11:00,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-24,12:00,390,434.25,12:05,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-25,11:55,250,364.6999999999971,12:15,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-26,10:00,290,778.0800000000017,10:05,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-26,10:10,265,869.9400000000023,10:15,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-26,10:20,615,553.4199999999983,10:30,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-26,10:35,265,713.429999999993,10:50,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-26,11:15,240,306.72000000000116,11:30,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-26,11:40,230,330.24000000000524,11:45,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-26,11:50,440,328.88000000000466,11:55,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-26,12:00,205,484.02999999999884,12:10,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-29,10:45,200,355.50999999999476,11:00,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-02,10:10,240,313.75999999999476,10:15,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-02,10:30,345,449.08000000000175,10:35,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-02,10:55,220,586.8300000000017,11:20,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-02,11:25,235,355.58000000000175,11:40,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-03,10:50,620,348.1999999999971,10:55,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-03,11:00,395,680.9499999999971,11:05,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-03,11:10,415,768.5500000000029,11:20,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-03,11:25,260,436.7100000000064,11:30,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-03,11:35,430,360.4600000000064,11:45,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-04,10:05,305,330.47000000000116,10:15,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-04,11:00,580,270.08000000000175,11:20,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-04,11:25,255,502.3999999999942,11:30,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-04,11:35,215,410.83000000000175,11:40,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-04,11:45,320,391.50999999999476,11:50,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-06,10:20,305,323.24000000000524,10:30,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-09,10:20,200,340.58000000000175,10:45,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-09,11:00,240,288.320000000007,11:05,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-11,10:35,235,552.9700000000012,11:05,1,50,50,-335,-67.0,1,Estopou
2021-08-11,11:10,255,359.4400000000023,11:30,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-11,11:40,210,275.7100000000064,11:45,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-12,10:00,230,284.1000000000058,10:05,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-12,11:30,320,437.5599999999977,11:35,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-13,10:55,210,385.7700000000041,11:05,1,50,50,-310,-62.0,1,Estopou
2021-08-16,10:45,310,476.2899999999936,11:15,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-16,11:35,225,250.08000000000175,11:40,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-17,10:10,205,315.8399999999965,10:25,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-18,10:15,230,294.2100000000064,10:20,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-18,10:45,215,295.5399999999936,10:50,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-18,11:25,260,332.52999999999884,11:45,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-19,10:00,235,334.74000000000524,10:05,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-20,10:00,280,536.25,10:05,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-24,10:00,230,348.0200000000041,10:20,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-24,10:30,275,408.8000000000029,10:35,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-24,11:00,240,292.2299999999959,11:10,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-24,11:25,295,498.5500000000029,11:50,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-25,10:35,220,377.0599999999977,10:50,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-08-26,12:00,440,260.0500000000029,12:30,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-27,11:20,290,342.1900000000023,11:35,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-08-30,10:35,210,522.2599999999948,11:05,1,50,50,-310,-62.0,1,Estopou
2021-04-01,10:55,270,252.97999999999593,11:25,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-04-01,11:35,375,449.4499999999971,11:40,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-04-01,11:45,205,390.1600000000035,11:50,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-04-05,10:00,265,299.5399999999936,10:10,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-04-05,10:15,230,626.7200000000012,11:10,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-04-07,10:35,215,357.75,10:40,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-04-09,10:05,300,265.3600000000006,10:25,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-04-15,10:30,220,354.50999999999476,10:35,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-04-22,10:00,260,302.3899999999994,10:20,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-04-22,11:00,355,401.4100000000035,11:15,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-04-22,11:35,255,289.9100000000035,11:40,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-04-23,10:35,425,276.4400000000023,11:05,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-04-29,11:10,205,325.7100000000064,11:30,1,50,50,-305,-61.0,1,Estopou
2021-04-29,11:50,255,314.58000000000175,12:15,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-01,10:45,235,414.11999999999534,10:55,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-01,11:00,430,261.7100000000064,11:15,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-01,11:20,275,345.74000000000524,11:25,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-01,11:40,285,382.5899999999965,11:45,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-02,11:50,225,274.5,12:25,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-05,10:45,215,253.74000000000524,11:00,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-05,11:10,200,297.2899999999936,11:40,1,50,50,-300,-60.0,1,Estopou
2021-07-06,10:10,205,272.77999999999884,10:20,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-06,11:05,235,370.570000000007,11:20,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-06,11:35,290,319.91999999999825,11:50,1,50,50,-390,-78.0,1,Estopou
2021-07-06,11:55,270,309.3399999999965,12:15,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-07,10:00,240,289.33000000000175,10:10,1,50,50,-340,-68.0,1,Estopou
2021-07-08,10:00,330,609.9600000000064,10:10,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-08,10:15,270,299.2299999999959,10:20,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-08,10:45,210,364.1900000000023,10:50,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-08,11:05,300,259.02999999999884,11:20,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-08,11:25,320,278.00999999999476,11:40,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-13,10:20,220,250.99000000000524,10:25,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-13,11:45,240,282.4499999999971,12:10,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-14,10:10,200,317.0899999999965,10:25,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-14,10:30,235,382.8000000000029,10:35,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-19,10:00,340,450.8899999999994,10:30,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-19,11:05,245,259.8999999999942,11:15,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-20,10:20,250,390.36999999999534,10:25,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-20,10:30,335,299.77999999999884,10:50,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-20,11:05,220,302.0399999999936,11:10,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-20,11:25,265,385.6900000000023,11:35,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-23,10:55,210,264.9799999999959,11:10,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-26,10:35,255,418.8399999999965,10:40,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-27,10:15,245,251.64999999999418,10:30,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-28,10:50,270,272.6000000000058,11:10,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-29,10:45,300,352.27999999999884,10:50,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-29,11:05,315,388.4799999999959,11:25,1,50,50,-415,-83.0,1,Estopou
2021-07-29,11:30,220,533.5099999999948,11:35,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-30,10:05,270,325.5,10:15,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-07-30,11:20,255,333.6499999999942,11:30,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-07-30,11:50,210,271.4499999999971,11:55,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-06-01,10:00,205,425.3099999999977,10:10,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-06-01,10:15,285,469.0500000000029,10:20,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-06-01,10:25,300,669.75,10:30,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-06-01,10:40,265,536.7899999999936,10:55,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-06-10,11:55,255,292.61999999999534,12:05,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-06-11,11:20,220,316.99000000000524,11:35,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-06-11,11:45,265,366.72000000000116,11:50,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-06-14,10:10,215,364.2899999999936,10:15,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-06-22,10:40,245,270.2899999999936,10:55,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-06-22,11:00,220,461.08000000000175,11:05,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-06-23,10:40,230,455.9799999999959,10:55,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-06-24,10:00,225,347.6900000000023,10:30,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-06-28,11:40,230,274.61999999999534,11:45,1,50,50,50,10.0,4,Mais provável que pagou para cima
2021-06-28,11:50,260,268.3999999999942,12:05,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-06-29,11:05,255,329.1000000000058,11:10,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-06-29,11:20,315,356.9799999999959,11:45,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-05-03,11:45,220,270.929999999993,11:50,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-05-04,10:35,315,269.5899999999965,11:05,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-05-05,10:40,220,296.820000000007,11:05,1,50,50,-320,-64.0,1,Estopou
2021-05-05,11:10,235,329.2700000000041,11:20,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-05-05,11:40,320,265.6999999999971,11:50,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
